STATES	SIZE OF STATE DELEGATION	APPORTIONMENT POPULATION	RESIDENT POPULATION	UNITED STATES POPULATION ABROAD	TOTAL ELECTORAL VOTES	NUMBER OF CITIZENS PER ELECTORAL VOTE
ALABAMA	7	4062608	4040587	22021	9	451400
ALASKA	1	551947	550043	1904	3	183982
ARIZONA	6	3677985	3665228	12757	8	459748
ARKANSAS	4	2362239	2350725	11514	6	393706
CALIFORNIA	52	29839250	29760021	79229	54	552578
COLORADO	6	3307912	3294394	13518	8	413489
CONNECTICUT	6	3295669	3287116	8553	8	411958
DELAWARE	1	668696	666168	2528	3	222898
DISTRICT OF COLUMBIA	0	0	606900	3009	3	203303
FLORIDA	23	13003362	12937926	65436	25	520134
GEORGIA	11	6508419	6478216	30203	13	500647
HAWAII	2	1115274	1108229	7045	4	278818
IDAHO	2	1011986	1006749	5237	4	252996
ILLINOIS	20	11466682	11430602	36080	22	521212
INDIANA	10	5564228	5544159	20069	12	463685
IOWA	5	2787424	2776755	10669	7	398203
KANSAS	4	2485600	2477574	8026	6	414266
KENTUCKY	6	3698969	3685296	13673	8	462371
LOUISIANA	7	4238216	4219973	18243	9	470912
MAINE	2	1233223	1227928	5295	4	308305
MARYLAND	8	4798622	4781468	17154	10	479862
MASSACHUSETTS	10	6029051	6016425	12626	12	502420
MICHIGAN	16	9328784	9295297	33487	18	518265
MINNESOTA	8	4387029	4375099	11930	10	438702
MISSISSIPPI	5	2586443	2573216	13227	7	369491
MISSOURI	9	5137804	5117073	20731	11	467073
MONTANA	1	803655	799065	4590	3	267885
NEBRASKA	3	1584617	1578385	6232	5	316923
NEVADA	2	1206152	1201833	4319	4	301538
NEW HAMPSHIRE	2	1113915	1109252	4663	4	278478
NEW JERSEY	13	7748634	7730188	18446	15	516575
NEW MEXICO	3	1521779	1515069	6710	5	304355
NEW YORK	31	18044505	17990455	54050	33	546803
NORTH CAROLINA	12	6657630	6628637	28993	14	475545
NORTH DAKOTA	1	641364	638800	2564	3	213788
OHIO	19	10887325	10847115	40210	21	518444
OKLAHOMA	6	3157604	3145585	12019	8	394700
OREGON	5	2853733	2842321	11412	7	407676
PENNSYLVANIA	21	11924710	11881643	43067	23	518465
RHODE ISLAND	2	1005984	1003464	2520	4	251496
SOUTH CAROLINA	6	3505707	3486703	19004	8	438213
SOUTH DAKOTA	1	699999	696004	3995	3	233333
TENNESSEE	9	4896641	4877185	19456	11	445149
TEXAS	30	17059805	16986510	73295	32	533118
UTAH	3	1727784	1722850	4934	5	345556
VERMONT	1	564964	562758	2206	3	188321
VIRGINIA	11	6216568	6187358	29210	13	478197
WASHINGTON	9	4887941	4866692	21249	11	444358
WEST VIRGINIA	3	1801625	1793477	8148	5	360325
WISCONSIN	9	4906745	4891769	14976	11	446067
WYOMING	1	455975	453588	2387	3	151991
